Team Name,Opposition Name,Tournament,Date,Time,Venue,Umpire,Player of the Match,Result,Result Info,Match ID,Opposition Runs,Opposition Wickets Fallen,Opposition Overs,Team Runs,Team Wickets Fallen,Team Overs,Season,Bowl First,difference,POTM Team
Two Bats or Not To Bat,The Golden Ducks,Clapham Common / Ruskin Park Tuesday,29/06/2014,14:40,Clapham Common oval,,,Win,Two Bats or Not To Bat Won by 5 wickets,M022,139,7,20,141,3,18.1,2014,TRUE,-2,-
Two Bats or Not To Bat,Clungely County,Clapham Common / Ruskin Park Tuesday,06/07/2014,10:00,Clapham Common oval,,,Loss,Clungely County Won by 95 runs,M023,204,3,20,109,7,20,2014,TRUE,95,-
Two Bats or Not To Bat,Dicket,Clapham Common / Ruskin Park Tuesday,13/07/2014,14:40,Clapham Common oval,,,Loss,Dicket Won by 187 runs,M024,264,4,20,77,6,20,2014,TRUE,187,-
Two Bats or Not To Bat,Mpingwe MAUK,Clapham Common / Ruskin Park Tuesday,20/07/2014,17:00,Clapham Common oval,,,Loss,Mpingwe MAUK Won by 111 runs,M025,185,1,15,74,5,15,2014,TRUE,111,-
Two Bats or Not To Bat,Clungely County,Clapham Common / Ruskin Park Tuesday,27/07/2014,9:00,Clapham Common oval,S M Shabuddin Arif,,Loss,Clungely County Won by 91 runs,M026,178,4,20,87,8,20,2014,TRUE,91,-
Two Bats or Not To Bat,Feathered Beeks,Clapham Common / Ruskin Park Tuesday,03/08/2014,13:30,Clapham Common oval,,,Loss,Feathered Beeks Won by 157 runs,M027,298,2,20,141,5,20,2014,TRUE,157,-
Two Bats or Not To Bat,Ball Shiners,Clapham Common / Ruskin Park Tuesday,26/04/2015,10:00,Clapham Common oval,,,Loss,Ball Shiners Won by 175 runs,M028,252,2,20,77,7,20,2015,TRUE,175,-
Two Bats or Not To Bat,Surrey Tropics,Clapham Common / Ruskin Park Tuesday,10/05/2015,12:00,Wandsworth Park (SW15 2NZ),,,Loss,Surrey Tropics Won by 94 runs,M029,229,7,20,135,2,20,2015,TRUE,94,-
Two Bats or Not To Bat,Feathered Beeks,Clapham Common / Ruskin Park Tuesday,31/05/2015,14:45,Clapham Common oval,,,Loss,Feathered Beeks Won by 176 runs,M030,259,1,20,83,7,20,2015,TRUE,176,-
Two Bats or Not To Bat,The Golden Ducks,Clapham Common / Ruskin Park Tuesday,07/06/2015,14:45,Clapham Common oval,,,Loss,The Golden Ducks Won by 7 wickets,M031,136,1,15,134,6,20,2015,FALSE,2,-
Two Bats or Not To Bat,Mpingwe MAUK,Clapham Common / Ruskin Park Tuesday,14/06/2015,10:00,Clapham Common oval,,,Loss,Mpingwe MAUK Won by 46 runs,M032,241,4,20,195,1,20,2015,TRUE,46,-
Two Bats or Not To Bat,The Budgies,Clapham Common / Ruskin Park Tuesday,21/06/2015,17:00,Clapham Common oval,,,Loss,The Budgies Won by 173 runs,M033,264,7,20,91,6,20,2015,TRUE,173,-
Two Bats or Not To Bat,The Diamond Ducks,Clapham Common / Ruskin Park Tuesday,28/06/2015,12:00,Clapham Common oval,,,Loss,The Diamond Ducks Won by 108 runs,M034,218,5,20,110,5,20,2015,TRUE,108,-
Two Bats or Not To Bat,The Entertainers,Clapham Common / Ruskin Park Tuesday,05/07/2015,14:45,Clapham Common oval,,,Loss,The Entertainers Won by 68 runs,M035,190,4,20,122,7,20,2015,TRUE,68,-
Two Bats or Not To Bat,Mpingwe CC,Brockwell Park/Dulwich Sports Ground Thursday,19/07/2015,12:00,Wandsworth Park (SW15 2NZ),,,Win,Two Bats or Not To Bat Won by 16 runs,M036,151,7,17.4,167,3,20,2015,FALSE,-16,-
Two Bats or Not To Bat,The Diamond Ducks,Brockwell Park/Dulwich Sports Ground Thursday,02/08/2015,12:00,Wandsworth Park (SW15 2NZ),Ross Cawood,Will Engert,Loss,The Diamond Ducks Won by 77 runs,M037,234,3,20,157,8,20,2015,TRUE,77,The Diamond Ducks
Two Bats or Not To Bat,The Elite Development Squad,Brockwell Park/Dulwich Sports Ground Thursday,02/08/2015,14:45,Wandsworth Park (SW15 2NZ),Ross Cawood,Max Elton,Loss,The Elite Development Squad Won by 91 runs,M038,199,2,20,108,8,14.4,2015,TRUE,91,The Elite Development Squad
Two Bats or Not To Bat,The Golden Ducks,Brockwell Park/Dulwich Sports Ground Thursday,09/08/2015,12:15,Wandsworth Park (SW15 2NZ),,,Loss,The Golden Ducks Won by 176 runs,M039,241,4,20,65,8,14,2015,TRUE,176,-
Two Bats or Not To Bat,Hits and Missus.,SW London Sunday Division 2,08/05/2016,17:00,Clapham Common Oval,Shabbir Ahmed,Ryan Easterbrook,Loss,Hits and Missus. Won by 127 runs,M040,225,5,20,98,8,19.3,2016,TRUE,127,Hits and Missus.
Two Bats or Not To Bat,Brokebat Mounting,SW London Sunday Division 2,15/05/2016,17:00,Clapham Common Oval,Shabbir Ahmed,Edward Crichton,Loss,Brokebat Mounting Won by 146 runs,M041,238,3,20,92,7,20,2016,TRUE,146,Brokebat Mounting
Two Bats or Not To Bat,The Diamond Ducks,SW London Sunday Division 2,22/05/2016,10:00,Clapham Common Oval,Shabbir Ahmed,Umar Farooq,Loss,The Diamond Ducks Won by 108 runs,M042,227,4,20,119,6,20,2016,TRUE,108,The Diamond Ducks
Two Bats or Not To Bat,Ball Breakers,SW London Sunday Division 2,05/06/2016,11:45,Clapham Common Oval,Shabbir Ahmed,Hamza shah,Loss,Ball Breakers Won by 123 runs,M043,206,2,20,83,6,20,2016,TRUE,123,Ball Breakers
Two Bats or Not To Bat,The Elite Development Squad,SW London Sunday Division 2,05/06/2016,14:00,Clapham Common Oval,Shabbir Ahmed,Joe Tetlow,Loss,The Elite Development Squad Won by 91 runs,M044,150,6,20,59,8,14.2,2016,TRUE,91,The Elite Development Squad
Two Bats or Not To Bat,Mpingwe CC,SW London Sunday Division 2,19/06/2016,10:15,Clapham Common Oval,Shabbir Ahmed,K B,Loss,Mpingwe CC Won by 64 runs,M045,196,5,20,132,6,20,2016,TRUE,64,Mpingwe CC
Two Bats or Not To Bat,The Golden Ducks,SW London Sunday Division 2,19/06/2016,12:20,Clapham Common Oval,Shabbir Ahmed,Charles Allison,Loss,The Golden Ducks Won by 52 runs,M046,154,2,20,102,5,20,2016,TRUE,52,The Golden Ducks
Two Bats or Not To Bat,Brokebat Mounting,SW London Sunday Division 2,03/07/2016,10:00,Clapham Common Oval,Shabbir Ahmed,Moe Verjee,Loss,Brokebat Mounting Won by 96 runs,M047,196,5,20,100,6,20,2016,TRUE,96,Brokebat Mounting
Two Bats or Not To Bat,Mixed Nuts,SW London Sunday Division 2,10/07/2016,11:45,Barnes Oval - Brook (SW13 9SA),Emdad chowdhury,,Loss,Mixed Nuts Won by 80 runs,M048,218,2,20,138,4,20,2016,TRUE,80,-
Two Bats or Not To Bat,The Diamond Ducks,SW London Sunday Division 2,17/07/2016,12:20,Barnes Oval - Brook (SW13 9SA),Emdad chowdhury,OCYG Willems,Loss,The Diamond Ducks Won by 96 runs,M049,221,5,20,125,3,19.4,2016,TRUE,96,Two Bats or Not To Bat
Two Bats or Not To Bat,Zef Side,SW London Sunday Division 2,17/07/2016,14:40,Barnes Oval - Brook (SW13 9SA),Emdad chowdhury,Luke Paton,Loss,Zef Side Won by 209 runs,M050,272,3,20,63,6,12.1,2016,TRUE,209,Zef Side
Two Bats or Not To Bat,The Golden Ducks,SW London Sunday Division 2,24/07/2016,15:10,Clapham Common Oval,Shabbir Ahmed,Jack Gilbert,Loss,The Golden Ducks Won by 115 runs,M051,217,4,20,102,4,20,2016,TRUE,115,The Golden Ducks
Two Bats or Not To Bat,Ball Breakers,SW London Sunday Division 2,07/08/2016,10:00,Clapham Common Oval,Shabbir Ahmed,Rayhan Mussa,Loss,Ball Breakers Won by 66 runs,M052,207,4,20,141,4,20,2016,TRUE,66,Ball Breakers
Two Bats or Not To Bat,Steve Bucknor's Graduates,London Friendlies 2025,23/10/2016,16:00,Tooting Common Oval (SW17 8JU),Shabbir Ahmed,S M Tanvir (LS),Loss,Steve Bucknor's Graduates Won by 96 runs,M053,215,3,20,119,4,20,2016,TRUE,96,Steve Bucknor's Graduates
Two Bats or Not To Bat,Invalids,London Friendlies 2025,30/10/2016,14:00,Tooting Common Oval (SW17 8JU),MD Ashraful Islam,S M Tanvir (LS),Loss,Invalids Won by 137 runs,M054,250,5,20,113,5,20,2016,TRUE,137,Invalids
Two Bats or Not To Bat,Fulham Flamingos,London Friendlies 2025,06/11/2016,14:00,Tooting Common Oval (SW17 8JU),MD Ashraful Islam,Elliot Lindsay - Wood,Loss,Fulham Flamingos Won by 80 runs,M055,227,7,20,147,3,20,2016,TRUE,80,Fulham Flamingos
Two Bats or Not To Bat,Ball Breakers,SW London Sunday Division 2,23/04/2017,15:00,Wandsworth Park Oval,Shabbir Ahmed,Mudassar Phambra,Loss,Ball Breakers Won by 60 runs,M056,210,8,19.4,150,8,19.1,2017,TRUE,60,Ball Breakers
Two Bats or Not To Bat,The Entertainers,SW London Sunday Division 2,07/05/2017,14:45,Barnes Oval - Brook (SW13 9SA),Emdad chowdhury,Tristan Langford,Win,Two Bats or Not To Bat Won by 6 wickets,M057,131,8,18,133,2,14,2017,TRUE,-2,Two Bats or Not To Bat
Two Bats or Not To Bat,Surrey Tropics,SW London Sunday Division 2,04/06/2017,15:20,Barnes Oval - Brook (SW13 9SA),Emdad chowdhury,Joe Hatton,Loss,Surrey Tropics Won by 75 runs,M058,198,8,19.4,123,7,20,2017,TRUE,75,Surrey Tropics
Two Bats or Not To Bat,Class Is Temporary,SW London Sunday Division 2,11/06/2017,10:00,Clapham Common Oval,shaif Alam,Mark Peters,Loss,Class Is Temporary Won by 181 runs,M059,272,3,20,91,8,20,2017,TRUE,181,Class Is Temporary
Two Bats or Not To Bat,The Golden Ducks,SW London Sunday Division 2,18/06/2017,17:00,Wandsworth Park Oval,Junaid Ahmed,Andy Armstead,Loss,The Golden Ducks Won by 20 runs,M060,204,0,20,184,3,20,2017,TRUE,20,The Golden Ducks
Two Bats or Not To Bat,The Diamond Ducks,SW London Sunday Division 2,25/06/2017,14:45,Clapham Common Oval,Shabbir Ahmed,Steve White,Loss,The Diamond Ducks Won by 126 runs,M061,206,4,20,80,8,14.3,2017,TRUE,126,The Diamond Ducks
Two Bats or Not To Bat,The Kolpaks,SW London Sunday Division 2,25/06/2017,17:00,Clapham Common Oval,Jon Edwards,Simon Ellis,Loss,The Kolpaks Won by 141 runs,M062,274,4,20,133,6,20,2017,TRUE,141,The Kolpaks
Two Bats or Not To Bat,Ball Breakers,SW London Sunday Division 2,02/07/2017,10:00,Clapham Common Oval,Shabbir Ahmed,Hamza shah,Loss,Ball Breakers Won by 36 runs,M063,185,5,20,149,6,20,2017,TRUE,36,Ball Breakers
Two Bats or Not To Bat,Surrey Tropics,SW London Sunday Division 2,09/07/2017,12:20,Barnes Oval - Brook (SW13 9SA),Emdad chowdhury,Dom Williams,Loss,Surrey Tropics Won by 98 runs,M064,258,4,20,160,4,20,2017,TRUE,98,Surrey Tropics
Two Bats or Not To Bat,The Entertainers,SW London Sunday Division 2,16/07/2017,12:20,Clapham Common Oval,Shabbir Ahmed,Amir Latif,Loss,The Entertainers Won by 23 runs,M065,136,6,20,113,5,20,2017,TRUE,23,The Entertainers
Two Bats or Not To Bat,The Kolpaks,SW London Sunday Division 2,23/07/2017,11:10,Clapham Common Oval,Shabbir Ahmed,Stephen Wormald,Loss,The Kolpaks Won by 89 runs,M066,220,3,20,131,6,20,2017,TRUE,89,The Kolpaks
Two Bats or Not To Bat,Mixed Nuts,SW London Sunday Division 2,30/07/2017,10:00,Barnes Oval - Brook (SW13 9SA),Emdad chowdhury,Neil Gill,Loss,Mixed Nuts Won by 135 runs,M067,230,3,20,95,7,20,2017,TRUE,135,Mixed Nuts
Two Bats or Not To Bat,The Diamond Ducks,SW London Sunday Division 2,13/08/2017,14:30,Clapham Common Oval,Shabbir Ahmed,Nat Rodwell,Loss,The Diamond Ducks Won by 91 runs,M068,175,8,20,84,7,20,2017,TRUE,91,The Diamond Ducks
Two Bats or Not To Bat,The Golden Ducks,SW London Sunday Division 2,13/08/2017,16:45,Clapham Common Oval,Shabbir Ahmed,Zacc Rodwell,Loss,The Golden Ducks Won by 93 runs,M069,189,6,20,96,8,19.3,2017,TRUE,93,The Golden Ducks
Two Bats or Not To Bat,Sledgendz,London Friendlies 2025,24/09/2017,16:20,Tooting Common Oval (SW17 8JU),Emdad chowdhury,Sikander Gulzar,Loss,Sledgendz Won by 115 runs,M070,217,5,16,102,5,16,2017,TRUE,115,Sledgendz
Two Bats or Not To Bat,Millwall Stars,London Friendlies 2025,01/10/2017,16:20,Tooting Common Oval (SW17 8JU),MD Ashraful Islam,Shabbir Ahmed,Loss,Millwall Stars Won by 14 runs,M071,134,7,18,120,5,18,2017,TRUE,14,Two Bats or Not To Bat
Two Bats or Not To Bat,Mpingwe CC,London Friendlies 2025,08/10/2017,9:45,Tooting Common Oval (SW17 8JU),MD Ashraful Islam,Jawed Niazi,Loss,Mpingwe CC Won by 207 runs,M072,248,5,20,41,8,10.1,2017,TRUE,207,Mpingwe CC
Two Bats or Not To Bat,Chakwal Stars,London Friendlies 2025,15/10/2017,14:10,Tooting Common Oval (SW17 8JU),MD Ashraful Islam,Rohail Ali,Loss,Chakwal Stars Won by 298 runs,M073,368,1,20,70,8,18.4,2017,TRUE,298,Chakwal Stars
Two Bats or Not To Bat,Hard Hitters,London Friendlies 2025,22/10/2017,14:10,Tooting Common Oval (SW17 8JU),MD Ashraful Islam,Syed Nasir,Loss,Hard Hitters Won by 91 runs,M074,231,5,20,140,5,20,2017,TRUE,91,Hard Hitters
Two Bats or Not To Bat,Invalids,London Friendlies 2025,05/11/2017,11:10,Tooting Common Oval (SW17 8JU),MD Ashraful Islam,Laura Bailey,Loss,Invalids Won by 157 runs,M075,227,1,20,70,8,13.1,2017,TRUE,157,Invalids
Two Bats or Not To Bat,Fulham Flamingos,London Friendlies 2025,12/11/2017,13:15,Tooting Common Oval (SW17 8JU),MD Ashraful Islam,Elliot Lindsay - Wood,Loss,Fulham Flamingos Won by 41 runs,M076,192,8,19,151,4,20,2017,TRUE,41,Fulham Flamingos
Two Bats or Not To Bat,Ball Breakers,SW London Sunday Division 2,29/04/2018,10:00,Clapham Common Oval,Shabbir Ahmed,Asad Rehman,Win,Two Bats or Not To Bat Won by 3 wickets,M077,197,1,20,200,5,20,2018,TRUE,-3,Two Bats or Not To Bat
Two Bats or Not To Bat,Surrey Tropics,SW London Sunday Division 2,13/05/2018,12:20,Barnes Oval - Brook (SW13 9SA),Ziaul Haque Shovo,Ben Gudex,Loss,Surrey Tropics Won by 110 runs,M078,242,2,20,132,4,20,2018,TRUE,110,Surrey Tropics
Two Bats or Not To Bat,The Elite Development Squad,SW London Sunday Division 2,20/05/2018,14:45,Barnes Oval - Brook (SW13 9SA),Ziaul Haque Shovo,Nick Derewlany,Loss,The Elite Development Squad Won by 188 runs,M079,265,3,20,77,8,11.1,2018,TRUE,188,The Elite Development Squad
Two Bats or Not To Bat,The Golden Ducks,SW London Sunday Division 2,03/06/2018,17:00,Clapham Common Oval,Shabbir Ahmed,Sam Grew,Loss,The Golden Ducks Won by 105 runs,M080,206,2,20,101,5,20,2018,TRUE,105,The Golden Ducks
Two Bats or Not To Bat,The Diamond Ducks,SW London Sunday Division 2,17/06/2018,14:45,Clapham Common Oval,Shabbir Ahmed,Mike Randall,Loss,The Diamond Ducks Won by 106 runs,M081,197,7,20,91,7,16.2,2018,TRUE,106,The Diamond Ducks
Two Bats or Not To Bat,The Entertainers,SW London Sunday Division 2,24/06/2018,17:00,Barnes Oval - Brook (SW13 9SA),Ziaul Haque Shovo,Dave Green,Loss,The Entertainers Won by 19 runs,M082,205,6,20,186,5,20,2018,TRUE,19,The Entertainers
Two Bats or Not To Bat,Class Is Temporary,SW London Sunday Division 2,01/07/2018,12:20,Clapham Common Oval,Shabbir Ahmed,Chris Somerville,Loss,Class Is Temporary Won by 93 runs,M083,274,2,20,181,6,20,2018,TRUE,93,Two Bats or Not To Bat
Two Bats or Not To Bat,Surrey Tropics,SW London Sunday Division 2,08/07/2018,14:45,Clapham Common Oval,Shabbir Ahmed,Andrew Cullen,Loss,Surrey Tropics Won by 107 runs,M084,262,6,20,155,7,20,2018,TRUE,107,Surrey Tropics
Two Bats or Not To Bat,The Elite Development Squad,SW London Sunday Division 2,05/08/2018,12:15,Barnes Oval - Brook (SW13 9SA),Ariful Haque,Ollie Marsh,Loss,The Elite Development Squad Won by 180 runs,M085,269,5,20,89,6,13.4,2018,TRUE,180,The Elite Development Squad
Two Bats or Not To Bat,The Entertainers,SW London Sunday Division 2,12/08/2018,13:20,Clapham Common Oval,Shabbir Ahmed,Robbie Ransom,Loss,The Entertainers Won by 78 runs,M086,178,6,17.4,100,8,17,2018,TRUE,78,The Entertainers
Two Bats or Not To Bat,The Diamond Ducks,SW London Sunday Division 2,12/08/2018,15:30,Clapham Common Oval,Shabbir Ahmed,Jack Lee,Loss,The Diamond Ducks Won by 105 runs,M087,215,5,20,110,6,20,2018,TRUE,105,The Diamond Ducks
Two Bats or Not To Bat,Sky Blue Knights,London Friendlies 2025,30/09/2018,13:00,Tooting Common Oval (SW17 8JU),S M Tanvir,Kashif Khan,Loss,Sky Blue Knights Won by 70 runs,M088,224,6,20,154,5,20,2018,TRUE,70,Sky Blue Knights
Two Bats or Not To Bat,Corpus Old Boys,London Friendlies 2025,07/10/2018,14:00,Tooting Common Oval (SW17 8JU),S M Tanvir,Jonny Beardmore,Loss,Corpus Old Boys Won by 180 runs,M089,238,6,20,58,8,13,2018,TRUE,180,Corpus Old Boys
Two Bats or Not To Bat,Mpingwe CC,London Friendlies 2025,21/10/2018,9:30,Tooting Common Oval (SW17 8JU),Shabbir Ahmed,Niranjan Shimoga,Loss,Mpingwe CC Won by 164 runs,M090,236,3,20,72,2,11.3,2018,TRUE,164,Mpingwe CC
Two Bats or Not To Bat,Hard Hitters,London Friendlies 2025,04/11/2018,11:45,Brockwell Park Oval (se24 9bj),Shabbir Ahmed,Jaffer Naqvi,Loss,Hard Hitters Won by 250 runs,M091,308,3,20,58,8,15.1,2018,TRUE,250,Hard Hitters
Two Bats or Not To Bat,Fireballs!,London Friendlies 2025,04/11/2018,14:00,Brockwell Park Oval (se24 9bj),Shabbir Ahmed,Gaurav Singhal Singhal,Win,Two Bats or Not To Bat Won by 5 wickets,M092,143,4,20,144,3,20,2018,TRUE,-1,Fireballs!
Two Bats or Not To Bat,Fazal CC,London Friendlies 2025,11/11/2018,14:00,Brockwell Park Oval (se24 9bj),Shabbir Ahmed,Niranjan Shimoga,Tie,The game was a tie,M093,150,7,20,150,7,20,2018,TRUE,0,Two Bats or Not To Bat
Two Bats or Not To Bat,Surrey Tropics,SW London Sunday Division 2,12/05/2019,17:00,Barnes Oval - Brook (SW13 9SA),Ariful Haque,J. D. Miller,Loss,Surrey Tropics Won by 60 runs,M094,220,2,20,160,5,20,2019,TRUE,60,Surrey Tropics
Two Bats or Not To Bat,The Entertainers,SW London Sunday Division 2,19/05/2019,14:45,Barnes Oval - Brook (SW13 9SA),Ariful Haque,Robbie Ransom,Loss,The Entertainers Won by 11 runs,M095,174,5,20,163,6,20,2019,TRUE,11,The Entertainers
Two Bats or Not To Bat,The Golden Ducks,SW London Sunday Division 2,02/06/2019,13:40,Barnes Oval - Brook (SW13 9SA),Ariful Haque,Freddie Clark,Loss,The Golden Ducks Won by 110 runs,M096,205,5,20,95,8,15,2019,TRUE,110,The Golden Ducks
Two Bats or Not To Bat,Gotham City Goats,SW London Sunday Division 2,09/06/2019,17:00,Clapham Common Oval,Shabbir Ahmed,James Hacking,Loss,Gotham City Goats Won by 85 runs,M097,228,6,20,143,7,20,2019,TRUE,85,Gotham City Goats
Two Bats or Not To Bat,The Diamond Ducks,SW London Sunday Division 2,16/06/2019,9:00,Clapham Common Oval,Shabbir Ahmed,Brian Dlima,Loss,The Diamond Ducks Won by 46 runs,M098,174,8,20,128,8,20,2019,TRUE,46,The Diamond Ducks
Two Bats or Not To Bat,Sandpaper Supply Co,SW London Sunday Division 2,23/06/2019,14:30,Clapham Common Oval,Shabbir Ahmed,Blake Jesson,Loss,Sandpaper Supply Co Won by 164 runs,M099,215,6,20,51,7,7.1,2019,TRUE,164,Sandpaper Supply Co
Two Bats or Not To Bat,The Elite Development Squad,SW London Sunday Division 2,07/07/2019,17:00,Clapham Common Oval,Shabbir Ahmed,Andy Taylor,Loss,The Elite Development Squad Won by 127 runs,M100,235,4,20,108,7,20,2019,TRUE,127,The Elite Development Squad
Two Bats or Not To Bat,The Diamond Ducks,SW London Sunday Division 2,28/07/2019,9:00,Clapham Common Oval,Shabbir Ahmed,Kawalnain Singh Arora,Loss,The Diamond Ducks Won by 58 runs,M101,181,6,20,123,3,20,2019,TRUE,58,The Diamond Ducks
Two Bats or Not To Bat,The Golden Ducks,SW London Sunday Division 2,28/07/2019,11:15,Clapham Common Oval,Shabbir Ahmed,Freddie Clark,Loss,The Golden Ducks Won by 74 runs,M102,212,2,20,138,5,20,2019,TRUE,74,The Golden Ducks
Two Bats or Not To Bat,Surrey Tropics,SW London Sunday Division 2,11/08/2019,11:15,Clapham Common Oval,Shabbir Ahmed,J. D. Miller,Loss,Surrey Tropics Won by 34 runs,M103,228,5,20,194,5,20,2019,TRUE,34,Surrey Tropics
Two Bats or Not To Bat,Gotham City Goats,SW London Sunday Division 2,11/08/2019,13:20,Clapham Common Oval,Shabbir Ahmed,Nabil Bentley,Loss,Gotham City Goats Won by 51 runs,M104,234,4,20,183,5,20,2019,TRUE,51,Gotham City Goats
Two Bats or Not To Bat,Surrey Tropics,SW London Sunday Division 2,25/08/2019,10:00,Clapham Common Oval,Ariful Haque,Ben Constant,Loss,Surrey Tropics Won by 26 runs,M105,219,5,20,193,5,20,2019,TRUE,26,Surrey Tropics
Two Bats or Not To Bat,Mpingwe CC,London Friendlies 2025,22/09/2019,14:00,Brockwell Park Oval (se24 9bj),Ferdous Zaman,Maruf Khan,Loss,Mpingwe CC Won by 84 runs,M106,232,3,20,148,5,20,2019,TRUE,84,Mpingwe CC
Two Bats or Not To Bat,Wandering Pelicans,London Friendlies 2025,29/09/2019,9:30,Brockwell Park Oval (se24 9bj),Ferdous Zaman,Tim Taylor,Loss,Wandering Pelicans Won by 51 runs,M107,146,8,19.2,95,8,12,2019,TRUE,51,Wandering Pelicans
